[2024-12-06 13:52:51,158] INFO in __init__: Application startup
[2024-12-06 13:53:25,528] INFO in __init__: Application startup
[2024-12-06 13:53:26,118] INFO in init_db: ¿ªÊ¼³õÊ¼»¯Êý¾Ý¿â...
[2024-12-06 13:53:26,431] INFO in init_db: Êý¾Ý¿â±í´´½¨Íê³É
[2024-12-06 13:53:26,761] INFO in init_db: ¹ÜÀíÔ±ÓÃ»§´´½¨Íê³É
[2024-12-06 13:53:26,772] INFO in init_db: ²âÊÔ²¿ÃÅ´´½¨Íê³É
[2024-12-06 13:53:26,775] ERROR in init_db: ³õÊ¼Êý¾Ý´´½¨Ê§°Ü: 'level' is an invalid keyword argument for Position
[2024-12-06 13:53:26,776] ERROR in init_db: Êý¾Ý¿â³õÊ¼»¯Ê§°Ü: 'level' is an invalid keyword argument for Position
[2024-12-06 13:54:38,426] INFO in __init__: Application startup
[2024-12-06 13:54:39,043] INFO in init_db: ¿ªÊ¼³õÊ¼»¯Êý¾Ý¿â...
[2024-12-06 13:54:39,158] INFO in init_db: Êý¾Ý¿â±í´´½¨Íê³É
[2024-12-06 13:54:39,195] INFO in init_db: ¹ÜÀíÔ±ÓÃ»§ÒÑ´æÔÚ£¬Ìø¹ý³õÊ¼Êý¾Ý´´½¨
[2024-12-06 13:54:39,197] INFO in init_db: Êý¾Ý¿â³õÊ¼»¯Íê³É!
[2024-12-06 13:55:08,628] INFO in __init__: Application startup
[2024-12-06 13:55:36,093] INFO in __init__: Application startup
[2024-12-06 13:55:36,727] INFO in init_db: ¿ªÊ¼³õÊ¼»¯Êý¾Ý¿â...
[2024-12-06 13:55:36,985] INFO in init_db: Êý¾Ý¿â±í´´½¨Íê³É
[2024-12-06 13:55:37,296] INFO in init_db: ¹ÜÀíÔ±ÓÃ»§´´½¨Íê³É
[2024-12-06 13:55:37,308] INFO in init_db: ²âÊÔ²¿ÃÅ´´½¨Íê³É
[2024-12-06 13:55:37,310] ERROR in init_db: ³õÊ¼Êý¾Ý´´½¨Ê§°Ü: 'level' is an invalid keyword argument for Position
[2024-12-06 13:55:37,313] ERROR in init_db: Êý¾Ý¿â³õÊ¼»¯Ê§°Ü: 'level' is an invalid keyword argument for Position
[2024-12-06 13:56:57,657] INFO in __init__: Application startup
[2024-12-06 13:57:35,504] INFO in __init__: Application startup
[2024-12-06 13:57:36,096] INFO in init_db: ¿ªÊ¼³õÊ¼»¯Êý¾Ý¿â...
[2024-12-06 13:57:36,404] INFO in init_db: Êý¾Ý¿â±í´´½¨Íê³É
[2024-12-06 13:57:36,710] INFO in init_db: ¹ÜÀíÔ±ÓÃ»§´´½¨Íê³É
[2024-12-06 13:57:36,724] INFO in init_db: ²âÊÔ²¿ÃÅ´´½¨Íê³É
[2024-12-06 13:57:36,725] ERROR in init_db: ³õÊ¼Êý¾Ý´´½¨Ê§°Ü: 'position_level' is an invalid keyword argument for Position
[2024-12-06 13:57:36,728] ERROR in init_db: Êý¾Ý¿â³õÊ¼»¯Ê§°Ü: 'position_level' is an invalid keyword argument for Position
[2024-12-06 14:00:00,166] INFO in __init__: Application startup
[2024-12-06 14:00:35,688] INFO in __init__: Application startup
[2024-12-06 14:00:36,335] INFO in init_db: ¿ªÊ¼³õÊ¼»¯Êý¾Ý¿â...
[2024-12-06 14:00:36,641] INFO in init_db: Êý¾Ý¿â±í´´½¨Íê³É
[2024-12-06 14:00:36,959] INFO in init_db: ¹ÜÀíÔ±ÓÃ»§´´½¨Íê³É
[2024-12-06 14:00:36,971] INFO in init_db: ²âÊÔ²¿ÃÅ´´½¨Íê³É
[2024-12-06 14:00:36,973] ERROR in init_db: ³õÊ¼Êý¾Ý´´½¨Ê§°Ü: 'rank' is an invalid keyword argument for Position
[2024-12-06 14:00:36,975] ERROR in init_db: Êý¾Ý¿â³õÊ¼»¯Ê§°Ü: 'rank' is an invalid keyword argument for Position
[2024-12-06 14:02:07,180] INFO in __init__: Application startup
[2024-12-06 14:02:35,340] INFO in __init__: Application startup
[2024-12-06 14:02:35,935] INFO in init_db: ¿ªÊ¼³õÊ¼»¯Êý¾Ý¿â...
[2024-12-06 14:02:36,226] INFO in init_db: Êý¾Ý¿â±í´´½¨Íê³É
[2024-12-06 14:02:36,532] INFO in init_db: ¹ÜÀíÔ±ÓÃ»§´´½¨Íê³É
[2024-12-06 14:02:36,542] INFO in init_db: ²âÊÔ²¿ÃÅ´´½¨Íê³É
[2024-12-06 14:02:36,544] ERROR in init_db: ³õÊ¼Êý¾Ý´´½¨Ê§°Ü: 'job_level' is an invalid keyword argument for Position
[2024-12-06 14:02:36,545] ERROR in init_db: Êý¾Ý¿â³õÊ¼»¯Ê§°Ü: 'job_level' is an invalid keyword argument for Position
[2024-12-06 14:04:02,035] INFO in __init__: Application startup
[2024-12-06 14:04:28,544] INFO in __init__: Application startup
[2024-12-06 14:04:29,161] INFO in init_db: ¿ªÊ¼³õÊ¼»¯Êý¾Ý¿â...
[2024-12-06 14:04:29,435] INFO in init_db: Êý¾Ý¿â±í´´½¨Íê³É
[2024-12-06 14:04:29,754] INFO in init_db: ¹ÜÀíÔ±ÓÃ»§´´½¨Íê³É
[2024-12-06 14:04:29,766] INFO in init_db: ²âÊÔ²¿ÃÅ´´½¨Íê³É
